# fmn API schema — the EXTRACTED layer (fm-vn6, plan §16.2)
# generated from 3b1b/manim @ 6199a00d4c1b1127ebe45cb629c3f22538b10e13
# by scripts/gen_api_schema.py — regenerate, never hand-edit
#
# The authored layer (canonical names for C-9 typos, semantic status,
# Rust bindings) lives in API_OVERLAY.tsv. The effective schema is the
# two merged; fmn_conformance::schema is the reader, and every
# generator consumes the merged form.
#
# Section-tagged, tab-separated, std-parseable — no TOML/YAML/JSON
# dependency anywhere in the reader (the SUITE.lock doctrine).

[meta]
schema_version	1
reference_commit	6199a00d4c1b1127ebe45cb629c3f22538b10e13
generator	scripts/gen_api_schema.py
wildcard_exports	663

[symbols]
# module	name	kind	origin	exported	detail
manimlib	PackageNotFoundError	leaked_import	importlib.metadata	1	-
manimlib	TYPE_CHECKING	leaked_import	typing	1	-
manimlib	__version__	constant	defined	0	version('manimgl')
manimlib	version	leaked_import	importlib.metadata	1	-
manimlib.__main__	main	function	defined	0	-
manimlib.__main__	run_scenes	function	defined	0	-
manimlib.animation.animation	Animation	class	defined	1	object
manimlib.animation.animation	Animation.__init__	method	defined	0	-
manimlib.animation.animation	Animation.begin	method	defined	0	-
manimlib.animation.animation	Animation.clean_up_from_scene	method	defined	0	-
manimlib.animation.animation	Animation.copy	method	defined	0	-
manimlib.animation.animation	Animation.create_starting_mobject	method	defined	0	-
manimlib.animation.animation	Animation.finish	method	defined	0	-
manimlib.animation.animation	Animation.get_all_families_zipped	method	defined	0	-
manimlib.animation.animation	Animation.get_all_mobjects	method	defined	0	-
manimlib.animation.animation	Animation.get_all_mobjects_to_update	method	defined	0	-
manimlib.animation.animation	Animation.get_rate_func	method	defined	0	-
manimlib.animation.animation	Animation.get_run_time	method	defined	0	-
manimlib.animation.animation	Animation.get_sub_alpha	method	defined	0	-
manimlib.animation.animation	Animation.interpolate	method	defined	0	-
manimlib.animation.animation	Animation.interpolate_mobject	method	defined	0	-
manimlib.animation.animation	Animation.interpolate_submobject	method	defined	0	-
manimlib.animation.animation	Animation.is_remover	method	defined	0	-
manimlib.animation.animation	Animation.set_name	method	defined	0	-
manimlib.animation.animation	Animation.set_rate_func	method	defined	0	-
manimlib.animation.animation	Animation.set_run_time	method	defined	0	-
manimlib.animation.animation	Animation.time_spanned_alpha	method	defined	0	-
manimlib.animation.animation	Animation.update	method	defined	0	-
manimlib.animation.animation	Animation.update_mobjects	method	defined	0	-
manimlib.animation.animation	Animation.update_rate_info	method	defined	0	-
manimlib.animation.animation	DEFAULT_ANIMATION_LAG_RATIO	constant	defined	1	0
manimlib.animation.animation	DEFAULT_ANIMATION_RUN_TIME	constant	defined	1	1.0
manimlib.animation.animation	annotations	leaked_import	__future__	1	-
manimlib.animation.animation	deepcopy	leaked_import	copy	1	-
manimlib.animation.animation	prepare_animation	function	defined	1	-
manimlib.animation.composition	AnimationGroup	class	defined	1	Animation
manimlib.animation.composition	AnimationGroup.__init__	method	defined	0	-
manimlib.animation.composition	AnimationGroup.begin	method	defined	0	-
manimlib.animation.composition	AnimationGroup.build_animations_with_timings	method	defined	0	-
manimlib.animation.composition	AnimationGroup.calculate_max_end_time	method	defined	0	-
manimlib.animation.composition	AnimationGroup.clean_up_from_scene	method	defined	0	-
manimlib.animation.composition	AnimationGroup.finish	method	defined	0	-
manimlib.animation.composition	AnimationGroup.get_all_mobjects	method	defined	0	-
manimlib.animation.composition	AnimationGroup.interpolate	method	defined	0	-
manimlib.animation.composition	AnimationGroup.update_mobjects	method	defined	0	-
manimlib.animation.composition	AnimationType	constant	defined	1	Union[Animation, _AnimationBuilder]
manimlib.animation.composition	DEFAULT_LAGGED_START_LAG_RATIO	constant	defined	1	0.05
manimlib.animation.composition	Iterable	leaked_import	typing	1	-
manimlib.animation.composition	LaggedStart	class	defined	1	AnimationGroup
manimlib.animation.composition	LaggedStart.__init__	method	defined	0	-
manimlib.animation.composition	LaggedStartMap	class	defined	1	LaggedStart
manimlib.animation.composition	LaggedStartMap.__init__	method	defined	0	-
manimlib.animation.composition	Succession	class	defined	1	AnimationGroup
manimlib.animation.composition	Succession.__init__	method	defined	0	-
manimlib.animation.composition	Succession.begin	method	defined	0	-
manimlib.animation.composition	Succession.finish	method	defined	0	-
manimlib.animation.composition	Succession.interpolate	method	defined	0	-
manimlib.animation.composition	Succession.update_mobjects	method	defined	0	-
manimlib.animation.creation	ABC	leaked_import	abc	1	-
manimlib.animation.creation	AddTextWordByWord	class	defined	1	ShowIncreasingSubsets
manimlib.animation.creation	AddTextWordByWord.__init__	method	defined	0	-
manimlib.animation.creation	AddTextWordByWord.clean_up_from_scene	method	defined	0	-
manimlib.animation.creation	DrawBorderThenFill	class	defined	1	Animation
manimlib.animation.creation	DrawBorderThenFill.__init__	method	defined	0	-
manimlib.animation.creation	DrawBorderThenFill.begin	method	defined	0	-
manimlib.animation.creation	DrawBorderThenFill.finish	method	defined	0	-
manimlib.animation.creation	DrawBorderThenFill.get_all_mobjects	method	defined	0	-
manimlib.animation.creation	DrawBorderThenFill.get_outline	method	defined	0	-
manimlib.animation.creation	DrawBorderThenFill.interpolate_submobject	method	defined	0	-
manimlib.animation.creation	ShowCreation	class	defined	1	ShowPartial
manimlib.animation.creation	ShowCreation.__init__	method	defined	0	-
manimlib.animation.creation	ShowCreation.get_bounds	method	defined	0	-
manimlib.animation.creation	ShowIncreasingSubsets	class	defined	1	Animation
manimlib.animation.creation	ShowIncreasingSubsets.__init__	method	defined	0	-
manimlib.animation.creation	ShowIncreasingSubsets.interpolate_mobject	method	defined	0	-
manimlib.animation.creation	ShowIncreasingSubsets.update_submobject_list	method	defined	0	-
manimlib.animation.creation	ShowPartial	class	defined	1	Animation,ABC
manimlib.animation.creation	ShowPartial.__init__	method	defined	0	-
manimlib.animation.creation	ShowPartial.get_bounds	method	defined	0	-
manimlib.animation.creation	ShowPartial.interpolate_submobject	method	defined	0	-
manimlib.animation.creation	ShowSubmobjectsOneByOne	class	defined	1	ShowIncreasingSubsets
manimlib.animation.creation	ShowSubmobjectsOneByOne.__init__	method	defined	0	-
manimlib.animation.creation	ShowSubmobjectsOneByOne.update_submobject_list	method	defined	0	-
manimlib.animation.creation	Uncreate	class	defined	1	ShowCreation
manimlib.animation.creation	Uncreate.__init__	method	defined	0	-
manimlib.animation.creation	Write	class	defined	1	DrawBorderThenFill
manimlib.animation.creation	Write.__init__	method	defined	0	-
manimlib.animation.creation	Write.compute_lag_ratio	method	defined	0	-
manimlib.animation.creation	Write.compute_run_time	method	defined	0	-
manimlib.animation.creation	abstractmethod	leaked_import	abc	1	-
manimlib.animation.creation	np	leaked_import	numpy	1	-
manimlib.animation.fading	Fade	class	defined	1	Transform
manimlib.animation.fading	Fade.__init__	method	defined	0	-
manimlib.animation.fading	FadeIn	class	defined	1	Fade
manimlib.animation.fading	FadeIn.create_starting_mobject	method	defined	0	-
manimlib.animation.fading	FadeIn.create_target	method	defined	0	-
manimlib.animation.fading	FadeInFromPoint	class	defined	1	FadeIn
manimlib.animation.fading	FadeInFromPoint.__init__	method	defined	0	-
manimlib.animation.fading	FadeOut	class	defined	1	Fade
manimlib.animation.fading	FadeOut.__init__	method	defined	0	-
manimlib.animation.fading	FadeOut.create_target	method	defined	0	-
manimlib.animation.fading	FadeOutToPoint	class	defined	1	FadeOut
manimlib.animation.fading	FadeOutToPoint.__init__	method	defined	0	-
manimlib.animation.fading	FadeTransform	class	defined	1	Transform
manimlib.animation.fading	FadeTransform.__init__	method	defined	0	-
manimlib.animation.fading	FadeTransform.begin	method	defined	0	-
manimlib.animation.fading	FadeTransform.clean_up_from_scene	method	defined	0	-
manimlib.animation.fading	FadeTransform.get_all_families_zipped	method	defined	0	-
manimlib.animation.fading	FadeTransform.get_all_mobjects	method	defined	0	-
manimlib.animation.fading	FadeTransform.ghost_to	method	defined	0	-
manimlib.animation.fading	FadeTransformPieces	class	defined	1	FadeTransform
manimlib.animation.fading	FadeTransformPieces.begin	method	defined	0	-
manimlib.animation.fading	FadeTransformPieces.ghost_to	method	defined	0	-
manimlib.animation.fading	VFadeIn	class	defined	1	Animation
manimlib.animation.fading	VFadeIn.__init__	method	defined	0	-
manimlib.animation.fading	VFadeIn.interpolate_submobject	method	defined	0	-
manimlib.animation.fading	VFadeInThenOut	class	defined	1	VFadeIn
manimlib.animation.fading	VFadeInThenOut.__init__	method	defined	0	-
manimlib.animation.fading	VFadeOut	class	defined	1	VFadeIn
manimlib.animation.fading	VFadeOut.__init__	method	defined	0	-
manimlib.animation.fading	VFadeOut.interpolate_submobject	method	defined	0	-
manimlib.animation.growing	GrowArrow	class	defined	1	GrowFromPoint
manimlib.animation.growing	GrowArrow.__init__	method	defined	0	-
manimlib.animation.growing	GrowFromCenter	class	defined	1	GrowFromPoint
manimlib.animation.growing	GrowFromCenter.__init__	method	defined	0	-
manimlib.animation.growing	GrowFromEdge	class	defined	1	GrowFromPoint
manimlib.animation.growing	GrowFromEdge.__init__	method	defined	0	-
manimlib.animation.growing	GrowFromPoint	class	defined	1	Transform
manimlib.animation.growing	GrowFromPoint.__init__	method	defined	0	-
manimlib.animation.growing	GrowFromPoint.create_starting_mobject	method	defined	0	-
manimlib.animation.growing	GrowFromPoint.create_target	method	defined	0	-
manimlib.animation.indication	AnimationOnSurroundingRectangle	class	defined	1	AnimationGroup
manimlib.animation.indication	AnimationOnSurroundingRectangle.RectAnimationType	attribute	defined	0	Animation
manimlib.animation.indication	AnimationOnSurroundingRectangle.__init__	method	defined	0	-
manimlib.animation.indication	ApplyWave	class	defined	1	Homotopy
manimlib.animation.indication	ApplyWave.__init__	method	defined	0	-
manimlib.animation.indication	CircleIndicate	class	defined	1	Transform
manimlib.animation.indication	CircleIndicate.__init__	method	defined	0	-
manimlib.animation.indication	Flash	class	defined	1	AnimationGroup
manimlib.animation.indication	Flash.__init__	method	defined	0	-
manimlib.animation.indication	Flash.create_line_anims	method	defined	0	-
manimlib.animation.indication	Flash.create_lines	method	defined	0	-
manimlib.animation.indication	FlashAround	class	defined	1	VShowPassingFlash
manimlib.animation.indication	FlashAround.__init__	method	defined	0	-
manimlib.animation.indication	FlashAround.get_path	method	defined	0	-
manimlib.animation.indication	FlashUnder	class	defined	1	FlashAround
manimlib.animation.indication	FlashUnder.get_path	method	defined	0	-
manimlib.animation.indication	FlashyFadeIn	class	defined	1	AnimationGroup
manimlib.animation.indication	FlashyFadeIn.__init__	method	defined	0	-
manimlib.animation.indication	FocusOn	class	defined	1	Transform
manimlib.animation.indication	FocusOn.__init__	method	defined	0	-
manimlib.animation.indication	FocusOn.create_starting_mobject	method	defined	0	-
manimlib.animation.indication	FocusOn.create_target	method	defined	0	-
manimlib.animation.indication	Indicate	class	defined	1	Transform
manimlib.animation.indication	Indicate.__init__	method	defined	0	-
manimlib.animation.indication	Indicate.create_target	method	defined	0	-
manimlib.animation.indication	ShowCreationThenDestruction	class	defined	1	ShowPassingFlash
manimlib.animation.indication	ShowCreationThenDestruction.__init__	method	defined	0	-
manimlib.animation.indication	ShowCreationThenDestructionAround	class	defined	1	AnimationOnSurroundingRectangle
