0.0	1.0	0.0	1.0	1.0
0.0	1.0,1.0	0.0,0.0	1.0,1.0	1.0
0.0	1.0,1.0,1.0	0.0,0.0,0.0	1.0,1.0,1.0	1.0
0.0	3.0,1.0	0.0,0.0	3.0,1.0	3.0
0.0	0.5,2.0,1.25	0.0,0.0,0.0	0.5,2.0,1.25	2.0
0.0	2.0,0.0,1.0	0.0,0.0,0.0	2.0,0.0,1.0	2.0
0.0	1.0,1.0,1.0,1.0,1.0	0.0,0.0,0.0,0.0,0.0	1.0,1.0,1.0,1.0,1.0	1.0
0.0	0.25,0.5,0.75,1.0,1.25,1.5	0.0,0.0,0.0,0.0,0.0,0.0	0.25,0.5,0.75,1.0,1.25,1.5	1.5
0.05	1.0	0.0	1.0	1.0
0.05	1.0,1.0	0.0,0.05	1.0,1.05	1.05
0.05	1.0,1.0,1.0	0.0,0.05,0.1	1.0,1.05,1.1	1.1
0.05	3.0,1.0	0.0,0.15000000000000002	3.0,1.15	3.0
0.05	0.5,2.0,1.25	0.0,0.025,0.125	0.5,2.025,1.375	2.025
0.05	2.0,0.0,1.0	0.0,0.1,0.1	2.0,0.1,1.1	2.0
0.05	1.0,1.0,1.0,1.0,1.0	0.0,0.05,0.1,0.15000000000000002,0.2	1.0,1.05,1.1,1.15,1.2	1.2
0.05	0.25,0.5,0.75,1.0,1.25,1.5	0.0,0.0125,0.0375,0.075,0.125,0.1875	0.25,0.5125,0.7875,1.075,1.375,1.6875	1.6875
0.25	1.0	0.0	1.0	1.0
0.25	1.0,1.0	0.0,0.25	1.0,1.25	1.25
0.25	1.0,1.0,1.0	0.0,0.25,0.5	1.0,1.25,1.5	1.5
0.25	3.0,1.0	0.0,0.75	3.0,1.75	3.0
0.25	0.5,2.0,1.25	0.0,0.125,0.625	0.5,2.125,1.875	2.125
0.25	2.0,0.0,1.0	0.0,0.5,0.5	2.0,0.5,1.5	2.0
0.25	1.0,1.0,1.0,1.0,1.0	0.0,0.25,0.5,0.75,1.0	1.0,1.25,1.5,1.75,2.0	2.0
0.25	0.25,0.5,0.75,1.0,1.25,1.5	0.0,0.0625,0.1875,0.375,0.625,0.9375	0.25,0.5625,0.9375,1.375,1.875,2.4375	2.4375
0.5	1.0	0.0	1.0	1.0
0.5	1.0,1.0	0.0,0.5	1.0,1.5	1.5
0.5	1.0,1.0,1.0	0.0,0.5,1.0	1.0,1.5,2.0	2.0
0.5	3.0,1.0	0.0,1.5	3.0,2.5	3.0
0.5	0.5,2.0,1.25	0.0,0.25,1.25	0.5,2.25,2.5	2.5
0.5	2.0,0.0,1.0	0.0,1.0,1.0	2.0,1.0,2.0	2.0
0.5	1.0,1.0,1.0,1.0,1.0	0.0,0.5,1.0,1.5,2.0	1.0,1.5,2.0,2.5,3.0	3.0
0.5	0.25,0.5,0.75,1.0,1.25,1.5	0.0,0.125,0.375,0.75,1.25,1.875	0.25,0.625,1.125,1.75,2.5,3.375	3.375
1.0	1.0	0.0	1.0	1.0
1.0	1.0,1.0	0.0,1.0	1.0,2.0	2.0
1.0	1.0,1.0,1.0	0.0,1.0,2.0	1.0,2.0,3.0	3.0
1.0	3.0,1.0	0.0,3.0	3.0,4.0	4.0
1.0	0.5,2.0,1.25	0.0,0.5,2.5	0.5,2.5,3.75	3.75
1.0	2.0,0.0,1.0	0.0,2.0,2.0	2.0,2.0,3.0	3.0
1.0	1.0,1.0,1.0,1.0,1.0	0.0,1.0,2.0,3.0,4.0	1.0,2.0,3.0,4.0,5.0	5.0
1.0	0.25,0.5,0.75,1.0,1.25,1.5	0.0,0.25,0.75,1.5,2.5,3.75	0.25,0.75,1.5,2.5,3.75,5.25	5.25
2.0	1.0	0.0	1.0	1.0
2.0	1.0,1.0	0.0,2.0	1.0,3.0	3.0
2.0	1.0,1.0,1.0	0.0,2.0,4.0	1.0,3.0,5.0	5.0
2.0	3.0,1.0	0.0,6.0	3.0,7.0	7.0
2.0	0.5,2.0,1.25	0.0,1.0,5.0	0.5,3.0,6.25	6.25
2.0	2.0,0.0,1.0	0.0,4.0,4.0	2.0,4.0,5.0	5.0
2.0	1.0,1.0,1.0,1.0,1.0	0.0,2.0,4.0,6.0,8.0	1.0,3.0,5.0,7.0,9.0	9.0
2.0	0.25,0.5,0.75,1.0,1.25,1.5	0.0,0.5,1.5,3.0,5.0,7.5	0.25,1.0,2.25,4.0,6.25,9.0	9.0
