# fmn-dmath ground-truth vectors (input bits -> correctly rounded f64 bits)
# generated by scripts/gen_dmath_vectors.py at mpmath prec=150 — regenerate, never hand-edit
0000000000000000	0000000000000000	0000000000000000
0000000000000000	8000000000000000	400921fb54442d18
0000000000000000	3fe0000000000000	0000000000000000
0000000000000000	bfe0000000000000	400921fb54442d18
0000000000000000	3ff0000000000000	0000000000000000
0000000000000000	bff0000000000000	400921fb54442d18
0000000000000000	7e37e43c8800759c	0000000000000000
0000000000000000	fe37e43c8800759c	400921fb54442d18
0000000000000000	01a56e1fc2f8f359	0000000000000000
0000000000000000	81a56e1fc2f8f359	400921fb54442d18
0000000000000000	7ff0000000000000	0000000000000000
0000000000000000	fff0000000000000	400921fb54442d18
8000000000000000	0000000000000000	0000000000000000
8000000000000000	8000000000000000	c00921fb54442d18
8000000000000000	3fe0000000000000	0000000000000000
8000000000000000	bfe0000000000000	c00921fb54442d18
8000000000000000	3ff0000000000000	0000000000000000
8000000000000000	bff0000000000000	c00921fb54442d18
8000000000000000	7e37e43c8800759c	0000000000000000
8000000000000000	fe37e43c8800759c	c00921fb54442d18
8000000000000000	01a56e1fc2f8f359	0000000000000000
8000000000000000	81a56e1fc2f8f359	c00921fb54442d18
8000000000000000	7ff0000000000000	0000000000000000
8000000000000000	fff0000000000000	c00921fb54442d18
3fe0000000000000	0000000000000000	3ff921fb54442d18
3fe0000000000000	8000000000000000	3ff921fb54442d18
3fe0000000000000	3fe0000000000000	3fe921fb54442d18
3fe0000000000000	bfe0000000000000	4002d97c7f3321d2
3fe0000000000000	3ff0000000000000	3fddac670561bb4f
3fe0000000000000	bff0000000000000	40056c6e7397f5ae
3fe0000000000000	7e37e43c8800759c	01956e1fc2f8f359
3fe0000000000000	fe37e43c8800759c	400921fb54442d18
3fe0000000000000	01a56e1fc2f8f359	3ff921fb54442d18
3fe0000000000000	81a56e1fc2f8f359	3ff921fb54442d18
3fe0000000000000	7ff0000000000000	0000000000000000
3fe0000000000000	fff0000000000000	400921fb54442d18
bfe0000000000000	0000000000000000	bff921fb54442d18
bfe0000000000000	8000000000000000	bff921fb54442d18
bfe0000000000000	3fe0000000000000	bfe921fb54442d18
bfe0000000000000	bfe0000000000000	c002d97c7f3321d2
bfe0000000000000	3ff0000000000000	bfddac670561bb4f
bfe0000000000000	bff0000000000000	c0056c6e7397f5ae
bfe0000000000000	7e37e43c8800759c	81956e1fc2f8f359
bfe0000000000000	fe37e43c8800759c	c00921fb54442d18
bfe0000000000000	01a56e1fc2f8f359	bff921fb54442d18
bfe0000000000000	81a56e1fc2f8f359	bff921fb54442d18
bfe0000000000000	7ff0000000000000	0000000000000000
bfe0000000000000	fff0000000000000	c00921fb54442d18
3ff0000000000000	0000000000000000	3ff921fb54442d18
3ff0000000000000	8000000000000000	3ff921fb54442d18
3ff0000000000000	3fe0000000000000	3ff1b6e192ebbe44
3ff0000000000000	bfe0000000000000	4000468a8ace4df6
3ff0000000000000	3ff0000000000000	3fe921fb54442d18
3ff0000000000000	bff0000000000000	4002d97c7f3321d2
3ff0000000000000	7e37e43c8800759c	01a56e1fc2f8f359
3ff0000000000000	fe37e43c8800759c	400921fb54442d18
3ff0000000000000	01a56e1fc2f8f359	3ff921fb54442d18
3ff0000000000000	81a56e1fc2f8f359	3ff921fb54442d18
3ff0000000000000	7ff0000000000000	0000000000000000
3ff0000000000000	fff0000000000000	400921fb54442d18
bff0000000000000	0000000000000000	bff921fb54442d18
