# The Parity Ledger (§16.1).
#
# GENERATED from API_SCHEMA.tsv + API_OVERLAY.tsv by
# fmn_conformance::schema — regenerate, never hand-edit.
# Reference pin: 6199a00d4c1b1127ebe45cb629c3f22538b10e13
#
# Regenerate:  UPDATE_API_ARTIFACTS=1 cargo test -p fmn-conformance \
#                  --test api_schema
#
# module	symbol	canonical	kind	exported	signature_defaults	status	evidence	tests	notes
fmn.cli	batch	batch	cli_command	0	-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Render a bounded multi-scene farm under asupersync
fmn.cli	doctor	doctor	cli_command	0	-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Report capabilities and the derived ExecutionPlan
fmn.cli	render	render	cli_command	0	-	same	-	crates/fmn-cli/src/lib.rs#tests	Render one or more selected scenes
fmn.cli	studio	studio	cli_command	0	-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Run the isolated-worker live Studio
fmn.cli.batch	--budget-ms	budget_ms	cli_flag	0	action=store;nargs=-;type=u64;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Wall-clock budget for the batch
fmn.cli.batch	--fail-fast	fail_fast	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Cancel remaining jobs after the first failure
fmn.cli.batch	--manifest-dir	manifest_dir	cli_flag	0	action=store;nargs=-;type=path;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Write per-scene manifests under this directory
fmn.cli.batch	--max-scenes	max_scenes	cli_flag	0	action=store;nargs=-;type=usize;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Bound simultaneously active scene jobs
fmn.cli.doctor	--require-ffmpeg	require_ffmpeg	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Exit with capability status when ffmpeg is unavailable
fmn.cli.global	--cache-dir	cache_dir	cli_flag	0	action=store;nargs=-;type=path;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Explicit FrankenManim content-store root
fmn.cli.global	--clear-cache	clear_cache	cli_flag	0	action=store_true;nargs=-;type=-;default=False	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	safe content-store lifecycle operation
fmn.cli.global	--config_file	config_file	cli_flag	0	action=store;nargs=-;type=-;default=-	same	-	crates/fmn-cli/src/lib.rs#tests	defaults then user file then CLI precedence
fmn.cli.global	--ffmpeg	ffmpeg	cli_flag	0	action=store;nargs=-;type=path;default=-	improved	BN-15	crates/fmn-cli/src/lib.rs#tests	Absolute path to the optional ffmpeg executable
