platform	linux-aarch64
frame.f64	3ff2cac55c33a8b2f460b5e3d338a542a736a6093f9519b712535e31bbe675f7
frame.f32	9e94bf5e95765eca5927178ac70da2fd21133d1a4f173cafa0c2428042595698
dmath.sin	d2205a3474d410029695779ac034b1ccf2b97b086512696e5668aea6734c331f
dmath.cos	15ce24f1f0aec4b337ad3c5a24b083bcc91c9d0645d3b047b301f7f6790479c8
dmath.tan	bc73f5c6a6ba7a2ff91a913ab73fa679147d12f8499420e637285946e74f809b
dmath.atan	676fc7c37d42fd68f2bc978029dfbf5c74752c7b43b40f082d254736eb35d1d6
dmath.asin	e799d8c96cc31ef1ce5b0faed678f7326e6f42cdfe4bed820248ea25c9e38980
dmath.acos	4e6e2b67a4faf082bce0adf5e889c0f19d1cdb934fdfc3f446c7d86778c328e2
dmath.exp	48345bbb3ebf16daf8e9f3188313b62adad4e610e54b96d99bad825bb599f535
dmath.ln	6690f4cf2d52ec92cdb8e7a500ccf6b3ec8e447fedc0a79eaa7e1e90914b475a
dmath.log2	d2e8e3ca492c458a7300a1b3af8626e831a1352dda09b218d584e9bd1f8fd0f7
dmath.tanh	8f71a1cdc7570ed778829e9dfc878aab3d1e955d0cd739d0e4d9dde3e86c51f1
dmath.sinh	2bd35c57159e7062910d5aa2a7ecd4f576684ee767d13b2eaa3acc0a28f6d405
dmath.cosh	e7909dd7e09e47dee1080de50ea62fb3d10a53631fc881d57db5342dd054f26c
dmath.cbrt	dc0d51c1e52941c82c0307b1eeb1e221792977a1a868f84eea096bdcb9eced2b
dmath.sqrt	ab587f7fbf2fec10ae56e2c46f46eaad90735079fd36949b980f4bb704e53f3f
dmath.atan2	44a390ae9fde26101cb322a725ee6664316e87188c378c6f5ab97c66a4d5291c
dmath.pow	b0e5152ba36df1b40b4b5088058d6d6cd24191905418ba61517cf24fd81dc315
