module	scene	outcome	exception
_2020/18S191/convolutions.py	ConvolutionIntroduction	missing_asset	OSError
_2020/18S191/dft.py	IntroduceDFT	scene_code_error	TypeError
_2020/18S191/diffusion.py	Diffusion1D	scene_code_error	AttributeError
_2020/18S191/diffusion.py	Diffusion1DStepFunction	scene_code_error	AttributeError
_2020/18S191/diffusion.py	Diffusion1DStepFunctionGraphed	scene_code_error	AttributeError
_2020/18S191/diffusion.py	Diffusion1DWith1Dot	scene_code_error	AttributeError
_2020/18S191/diffusion.py	Diffusion2D	scene_code_error	AttributeError
_2020/18S191/diffusion.py	Diffusion2D10KDots	scene_code_error	AttributeError
_2020/18S191/diffusion.py	Diffusion2D1Dot	scene_code_error	AttributeError
_2020/18S191/diffusion.py	DiffusionDeltaGraphed	scene_code_error	AttributeError
_2020/18S191/diffusion.py	DiffusionDeltaGraphedShowingMean	scene_code_error	AttributeError
_2020/18S191/diffusion.py	DiffusionDeltaGraphedTripleStart	scene_code_error	AttributeError
_2020/18S191/dynamic_prog.py	DynamicProgrammingApproachSearch	scene_code_error	ValueError
_2020/18S191/dynamic_prog.py	GreedyAlgorithm	scene_code_error	ValueError
_2020/18S191/dynamic_prog.py	RecrusiveExhaustiveSearch	scene_code_error	ValueError
_2020/18S191/seam_carving.py	DynamicProgrammingApproachSearch	ok	
_2020/18S191/seam_carving.py	GreedyAlgorithm	ok	
_2020/18S191/seam_carving.py	RecrusiveExhaustiveSearch	ok	
_2020/antipode.py	NewSceneName	ok	
_2020/beta/beta1.py	AltThumbnail1	scene_code_error	AttributeError
_2020/beta/beta1.py	AskAboutUnknownProbabilities	missing_asset	OSError
_2020/beta/beta1.py	AskInverseQuestion	missing_asset	OSError
_2020/beta/beta1.py	AskProbabilityOfCoins	ok	
_2020/beta/beta1.py	AskWhy	missing_asset	OSError
_2020/beta/beta1.py	BarChartTest	portal_exception	TypeError
_2020/beta/beta1.py	BinomialName	ok	
_2020/beta/beta1.py	CarFactoryNumbers	scene_code_error	TypeError
_2020/beta/beta1.py	ComingUpWrapper	scene_code_error	NameError
_2020/beta/beta1.py	ComplainAboutSimplisticModel	missing_asset	OSError
_2020/beta/beta1.py	Guess96Percent	missing_asset	OSError
_2020/beta/beta1.py	HighlightReviewParts	scene_code_error	AssertionError
_2020/beta/beta1.py	IllustrateBinomialSetupWithCoins	ok	
_2020/beta/beta1.py	IsSellerOne100	scene_code_error	TypeError
_2020/beta/beta1.py	LaplacesRuleOfSuccession	tex_unsupported	TexError
_2020/beta/beta1.py	LetsLookAtOneAnswer	missing_asset	OSError
_2020/beta/beta1.py	LikelihoodGraphFor10of10	scene_code_error	AttributeError
_2020/beta/beta1.py	LookAtAllPossibleSuccessRates	scene_code_error	TypeError
_2020/beta/beta1.py	PreviewBeta	scene_code_error	TypeError
_2020/beta/beta1.py	PreviewThreeVideos	scene_code_error	NameError
_2020/beta/beta1.py	RunCarFactory	missing_asset	OSError
_2020/beta/beta1.py	ShowBinomialFormula	scene_code_error	AttributeError
_2020/beta/beta1.py	ShowThreeCases	scene_code_error	NameError
_2020/beta/beta1.py	SimulationsOf10Reviews	scene_code_error	AttributeError
_2020/beta/beta1.py	SimulationsOf10ReviewsSquished	scene_code_error	AttributeError
_2020/beta/beta1.py	SimulationsOf50Reviews	scene_code_error	AttributeError
_2020/beta/beta1.py	StateIndependence	tex_unsupported	TexError
_2020/beta/beta1.py	StateNeedForBayesRule	missing_asset	OSError
_2020/beta/beta1.py	Thumbnail1	ok	
_2020/beta/beta1.py	Thumbnail2	scene_code_error	TypeError
_2020/beta/beta1.py	Thumbnail3	scene_code_error	TypeError
_2020/beta/beta1.py	WhatsTheModel	missing_asset	OSError
_2020/beta/beta1.py	WriteLikelihoodFunction	tex_unsupported	TexError
_2020/beta/beta2.py	CarFactoryNumbers	scene_code_error	NameError
_2020/beta/beta2.py	ComplainAboutRuleChange	scene_code_error	NameError
_2020/beta/beta2.py	DrawBigRect	scene_code_error	NameError
_2020/beta/beta2.py	DrawUnderline	scene_code_error	NameError
_2020/beta/beta2.py	Eq70	scene_code_error	NameError
_2020/beta/beta2.py	FiniteVsContinuum	scene_code_error	NameError
_2020/beta/beta2.py	HalfFiniteHalfContinuous	scene_code_error	NameError
_2020/beta/beta2.py	LabelH	scene_code_error	NameError
_2020/beta/beta2.py	MeasureTheoryLeadsTo	scene_code_error	NameError
_2020/beta/beta2.py	NamePdfs	scene_code_error	NameError
_2020/beta/beta2.py	PossibleYetProbabilityZero	scene_code_error	NameError
_2020/beta/beta2.py	ProbabilityToContinuousValuesSupplement	scene_code_error	NameError
_2020/beta/beta2.py	ShowInfiniteContinuum	scene_code_error	NameError
_2020/beta/beta2.py	ShowLimitToPdf	scene_code_error	NameError
_2020/beta/beta2.py	SumToIntegral	scene_code_error	NameError
_2020/beta/beta2.py	TeacherHoldingValue	scene_code_error	NameError
_2020/beta/beta2.py	Thumbnail	scene_code_error	NameError
_2020/beta/beta2.py	TiePossibleToDensity	scene_code_error	NameError
_2020/beta/beta2.py	TitleCard	scene_code_error	NameError
_2020/beta/beta2.py	TryAssigningProbabilitiesToSpecificValues	scene_code_error	NameError
_2020/beta/beta2.py	WanderingArrow	scene_code_error	NameError
_2020/beta/beta2.py	WeightedCoin	scene_code_error	NameError
_2020/beta/beta2.py	WhenIWasFirstLearning	scene_code_error	NameError
_2020/beta/beta3.py	ArgumentBetweenBayesianAndFrequentist	scene_code_error	NameError
_2020/beta/beta3.py	BayesianFrequentistDivide	scene_code_error	NameError
_2020/beta/beta3.py	ComplainAboutSimplisticModel	scene_code_error	NameError
_2020/beta/beta3.py	Grey	scene_code_error	NameError
_2020/beta/beta3.py	LastTimeWrapper	scene_code_error	NameError
_2020/beta/beta3.py	OpenAndCloseAsideOnPdfs	scene_code_error	NameError
_2020/beta/beta3.py	PDefectEqualsQmark	scene_code_error	NameError
_2020/beta/beta3.py	RemindOfWeightedCoin	scene_code_error	NameError
_2020/beta/beta3.py	ShowBayesRule	scene_code_error	NameError
_2020/beta/beta3.py	ShowBayesianUpdating	scene_code_error	NameError
_2020/beta/beta3.py	TalkThroughCoinExample	scene_code_error	NameError
_2020/beta/beta3.py	UpdateOnceWithBinomial	scene_code_error	NameError
_2020/beta/beta3.py	VisualizeBayesRule	scene_code_error	NameError
_2020/chess.py	AttemptAColoring	portal_exception	TypeError
_2020/chess.py	BitVectorSum	capability_refusal	NotImplementedError
_2020/chess.py	ComingUpWrapper	scene_code_error	AttributeError
_2020/chess.py	CubeEdgeDescription	scene_code_error	TypeError
_2020/chess.py	CubeSupplement	capability_refusal	NotImplementedError
_2020/chess.py	DiagramOfProgression	scene_code_error	AttributeError
_2020/chess.py	EdgeColoringExample	ok	
_2020/chess.py	ErrorCorrectionMention	scene_code_error	AttributeError
_2020/chess.py	EulerDiagram	ok	
_2020/chess.py	ExampleSquareAsBinaryNumber	scene_code_error	AttributeError
_2020/chess.py	FailedMod3Addition	scene_code_error	AttributeError
_2020/chess.py	FourDCubeColoringFromTrees	scene_code_error	AttributeError
_2020/chess.py	FromCoinToSquareMaps	scene_code_error	AttributeError
_2020/chess.py	FromCoinToSquareMapsSingleFlips	scene_code_error	AttributeError
_2020/chess.py	GrahamsConstantAlt	ok	
_2020/chess.py	HighDimensionalCount	capability_refusal	NotImplementedError
_2020/chess.py	HowCanWeVisualizeSolutions	missing_asset	OSError
_2020/chess.py	IGotThis	missing_asset	OSError
_2020/chess.py	ImpossibleVariations	scene_code_error	AttributeError
_2020/chess.py	IntroduceHypercube	ok	
_2020/chess.py	IntroducePuzzle	scene_code_error	AttributeError
_2020/chess.py	ModNStrategy	scene_code_error	AttributeError
_2020/chess.py	PrisonerPuzzleSetting	missing_asset	OSError
_2020/chess.py	SeventyFivePercentChance	scene_code_error	AttributeError
_2020/chess.py	ShowBoardRegions	scene_code_error	AttributeError
_2020/chess.py	ShowCube	capability_refusal	NotImplementedError
_2020/chess.py	ShowCurrAndTarget	scene_code_error	AttributeError
_2020/chess.py	ShowCurrAndTargetAlt	scene_code_error	AttributeError
_2020/chess.py	ShowFinalStrategy	scene_code_error	AttributeError
_2020/chess.py	ShowFinalStrategyWithFadeLines	scene_code_error	AttributeError
_2020/chess.py	SimpleRect	ok	
_2020/chess.py	SkipSkipYesYes	scene_code_error	AttributeError
_2020/chess.py	StandupMathsWrapper	scene_code_error	AttributeError
_2020/chess.py	ThinkAboutNewTrick	missing_asset	OSError
_2020/chess.py	ThreeSquareCase	capability_refusal	NotImplementedError
_2020/chess.py	ThreeSquaresABC	capability_refusal	NotImplementedError
_2020/chess.py	Thumbnail	capability_refusal	NotImplementedError
_2020/chess.py	TitleCard	capability_refusal	NotImplementedError
_2020/chess.py	TreeOfThreeFlips	scene_code_error	AttributeError
_2020/chess.py	TryDifferentCaseThreeStrategies	capability_refusal	NotImplementedError
_2020/chess.py	TryTheProofYourself	missing_asset	OSError
_2020/chess.py	TwoSquareCase	scene_code_error	AttributeError
_2020/chess.py	TwoSquaresAB	scene_code_error	AttributeError
_2020/chess.py	WalkingTheSquare	capability_refusal	NotImplementedError
_2020/chess.py	WantAdditionToBeSubtraction	capability_refusal	NotImplementedError
_2020/chess.py	WhatAreWeDoingHere	missing_asset	OSError
_2020/chess.py	WhenIsItHopeless	capability_refusal	NotImplementedError
_2020/covid.py	CompareCountries	missing_asset	OSError
_2020/covid.py	ContrastRandomShufflingWithClustersAndTravel	scene_code_error	NameError
_2020/covid.py	GrowthEquation	scene_code_error	NameError
_2020/covid.py	IntroQuestion	scene_code_error	NameError
_2020/covid.py	IntroducePlot	scene_code_error	AttributeError
_2020/covid.py	LinRegNote	ok	
_2020/covid.py	RescaleToLogarithmic	scene_code_error	TypeError
_2020/covid.py	SARSvs1918	missing_asset	OSError
_2020/covid.py	ShowLogisticCurve	scene_code_error	TypeError
_2020/covid.py	ShowVaryingBaseFactor	ok	
_2020/covid.py	ShowVaryingExpCurve	scene_code_error	TypeError
_2020/covid.py	ShowVaryingExpFactor	ok	
_2020/covid.py	SneezingOnNeighbors	missing_asset	OSError
_2020/covid.py	SubtltyOfGrowthFactorShift	scene_code_error	NameError
_2020/covid.py	Thumbnail	ok	
_2020/covid.py	ViralSpreadModel	missing_asset	OSError
_2020/covid.py	ViralSpreadModelWithClusters	missing_asset	OSError
_2020/covid.py	ViralSpreadModelWithClustersAndTravel	missing_asset	OSError
_2020/covid.py	ViralSpreadModelWithShuffling	missing_asset	OSError
_2020/ctracing.py	AppleGoogleCoop	missing_asset	OSError
_2020/ctracing.py	ContactTracingMisnomer	ok	
_2020/ctracing.py	ContactTracingWords	ok	
_2020/ctracing.py	ExplainTracing	scene_code_error	TypeError
_2020/ctracing.py	LastFewMonths	ok	
_2020/ctracing.py	LocationTracking	missing_asset	OSError
_2020/ctracing.py	MoreLinks	ok	
_2020/ctracing.py	PiGesture1	missing_asset	OSError
_2020/ctracing.py	PiGesture2	missing_asset	OSError
_2020/ctracing.py	PiGesture3	missing_asset	OSError
_2020/ctracing.py	UnemploymentTitle	scene_code_error	TypeError
_2020/ctracing.py	WanderingDotsWithLines	scene_code_error	AttributeError
_2020/ctracing.py	WhatAboutPeopleWithoutPhones	missing_asset	OSError
_2020/hamming.py	AltThumbnail	ok	
_2020/hamming.py	AmbientErrorCorrection	scene_code_error	AttributeError
_2020/hamming.py	AmbientErrorCorrection4	scene_code_error	AttributeError
_2020/hamming.py	AmbientErrorCorrection6	scene_code_error	AttributeError
_2020/hamming.py	ArrayOfValidMessages	scene_code_error	TypeError
_2020/hamming.py	ArrowPair	ok	
_2020/hamming.py	AskHowItsImplemented	missing_asset	OSError
_2020/hamming.py	BinaryCounting	ok	
_2020/hamming.py	BlockSize256	scene_code_error	TypeError
_2020/hamming.py	BurstErrors	missing_asset	OSError
_2020/hamming.py	ButWhy	missing_asset	OSError
_2020/hamming.py	ByHandVsSoftwareVsHardware	missing_asset	OSError
_2020/hamming.py	ChangeAnywhereToOneBit	ok	
_2020/hamming.py	ChecksSpellOutPositionInBinary	missing_asset	OSError
_2020/hamming.py	CompareXorToParityChecks	missing_asset	OSError
_2020/hamming.py	ComplainAboutParityCheckWeakness	missing_asset	OSError
_2020/hamming.py	ConflictingViewsOnXor	missing_asset	OSError
_2020/hamming.py	DataGettingZapped	missing_asset	OSError
_2020/hamming.py	DiskOfBits	scene_code_error	TypeError
_2020/hamming.py	EaterWrapper	ok	
_2020/hamming.py	EndScreen	ok	
_2020/hamming.py	ErrorAtECCBit	portal_exception	TypeError
_2020/hamming.py	FullExampleWithNewEnd	missing_asset	OSError
_2020/hamming.py	HalfAsPowerful	missing_asset	OSError
_2020/hamming.py	HammingAtBell	missing_asset	OSError
_2020/hamming.py	HammingCodesWithXOR	scene_code_error	TypeError
_2020/hamming.py	HammingSyndromePython	scene_code_error	Exception
_2020/hamming.py	HammingThinking	missing_asset	OSError
_2020/hamming.py	ImpossibleToReasonable	ok	
_2020/hamming.py	LetsWalkThroughAnExample	missing_asset	OSError
_2020/hamming.py	ListOfRelevantMathTopics	scene_code_error	TypeError
_2020/hamming.py	LogTitle	ok	
_2020/hamming.py	LouisPasteurQuote	ok	
_2020/hamming.py	MatrixProduct	scene_code_error	AttributeError
_2020/hamming.py	MillionRatio	timeout	
_2020/hamming.py	MultiplePerspectives	missing_asset	OSError
_2020/hamming.py	OddNumberCountTo101	ok	
_2020/hamming.py	OneGroupPerParityBit	ok	
_2020/hamming.py	ParityChecks	missing_asset	OSError
_2020/hamming.py	Part1Wrapper	ok	
_2020/hamming.py	PowerOfTwoPositions	ok	
_2020/hamming.py	PythonXorExample	scene_code_error	Exception
_2020/hamming.py	RandomWalks	capability_refusal	NotImplementedError
_2020/hamming.py	ReedSolomonPreview	portal_exception	TypeError
_2020/hamming.py	Reinvention	missing_asset	OSError
_2020/hamming.py	ReviewOfXOR	scene_code_error	TypeError
_2020/hamming.py	RobustForLessThanNErrors	ok	
_2020/hamming.py	ScaleUp	timeout	
_2020/hamming.py	SenderReceiverDynamic	missing_asset	OSError
_2020/hamming.py	SetupSixteenBitExample	scene_code_error	TypeError
_2020/hamming.py	SimpleHoldUpBackground	missing_asset	OSError
_2020/hamming.py	SimplePointer	ok	
_2020/hamming.py	ThinkingInTermsOfBits	ok	
_2020/hamming.py	Thumbnail	ok	
_2020/hamming.py	Thumbnail2	ok	
_2020/hamming.py	TimeLine	capability_refusal	NotImplementedError
_2020/hamming.py	TooManyErrorsTripUpHamming	missing_asset	OSError
_2020/hamming.py	TripleRedundancy	missing_asset	OSError
_2020/hamming.py	TwentyQuestions	missing_asset	OSError
_2020/hamming.py	TwoErrorGrids	ok	
_2020/hamming.py	WellAlmost	missing_asset	OSError
